Store,Model,Price,Image_URL,Shop_Link
高雄店,【高雄店】2022 睿能 GOGORO VIVA MIX BELT #7771 (現況販售),38000,https://cdn.store-assets.com/s/1336053/i/99811620.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2022-睿能-gogoro-viva-mix-belt-7771-現況販售-
高雄店,【高雄店】2013 光陽 V2 125 鼓煞 #3082 (現況販售),18000,https://cdn.store-assets.com/s/1336053/i/99778197.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2013-光陽-v2-125-鼓煞-3082-現況販售-
高雄店,【高雄店】2024 三陽 JET SL 158 (ABS+TCS) #7666,90000,https://cdn.store-assets.com/s/1336053/i/99775003.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2024-三陽-jet-sl-158-abs-tcs-7666-
高雄店,【高雄店】2014 光陽 candy 110 #500,28000,https://cdn.store-assets.com/s/1336053/i/99774387.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2014-光陽-candy-110-500-pkv-
高雄店,【高雄店】2022 三陽 DRG 158 TCS 七期 #9715,72000,https://cdn.store-assets.com/s/1336053/i/99773607.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2022-三陽-drg-158-tcs-七期-9715-
高雄店,【高雄店】2023 睿能 GOGORO 2 DELIGHT #6980,36000,https://cdn.store-assets.com/s/1336053/i/99594040.jpeg,https://shop.2motor.tw/collections/2motor888/products/2023-睿能-gogoro-2-delight-6980-36-000
高雄店,【高雄店】2018 光陽 NICE 100 #8501,28000,https://cdn.store-assets.com/s/1336053/i/99569254.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2018-光陽-nice-100-8501
高雄店,【高雄店】2012 PGO JBUBU 115 #776,32000,https://cdn.store-assets.com/s/1336053/i/99564418.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2012-pgo-jbubu-115-776
高雄店,【高雄店】2014 三陽 Z1 125 #621,28000,https://cdn.store-assets.com/s/1336053/i/99496547.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2014-三陽-z1-125-621
高雄店,【高雄店】2018 三陽 Z1 attila 125 #1910,32000,https://cdn.store-assets.com/s/1336053/i/99496095.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2018-三陽-z1-attila-125-1910-
高雄店,【高雄店】2010 三陽 WOWOW #006,38000,https://cdn.store-assets.com/s/1336053/i/99467017.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2010-三陽-wowow-006-
高雄店,【高雄店】2012 光陽 酷龍 150 仿賽 #9705 (現況販售),19999,https://cdn.store-assets.com/s/1336053/i/99466161.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2012-光陽-酷龍-150-仿賽-9705-現況販售-
高雄店,【高雄店】2017 光陽 勁多利 150 #9786,32000,https://cdn.store-assets.com/s/1336053/i/99459880.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2017-光陽-勁多利-150-9786-
